process	seq.unit.id	sample.name	flowcell	lane	barcode	barcode.group	well
0	BEI010001	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b1	A1
0	BEI010002	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b2	B1
0	BEI010003	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b3	C1
0	BEI010004	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b4	D1
0	BEI010005	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b5	E1
0	BEI010006	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b6	F1
0	BEI010007	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b7	G1
0	BEI010008	NYU014_PBXW0159_2C	AC7L8PACXX	1	1	b8	H1
0	BEI010009	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b1	A2
0	BEI010010	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b2	B2
0	BEI010011	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b3	C2
0	BEI010012	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b4	D2
0	BEI010013	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b5	E2
0	BEI010014	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b6	F2
0	BEI010015	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b7	G2
0	BEI010016	NYU014_PBXW0159_2C	AC7L8PACXX	1	2	b8	H2
0	BEI010017	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b1	A3
0	BEI010018	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b2	B3
0	BEI010019	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b3	C3
0	BEI010020	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b4	D3
0	BEI010021	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b5	E3
0	BEI010022	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b6	F3
0	BEI010023	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b7	G3
0	BEI010024	NYU014_PBXW0159_gt2C	AC7L8PACXX	1	4	b8	H3
0	BEI010025	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b1	A4
0	BEI010026	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b2	B4
0	BEI010027	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b3	C4
0	BEI010028	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b4	D4
0	BEI010029	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b5	E4
0	BEI010030	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b6	F4
0	BEI010031	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b7	G4
0	BEI010032	NYU014_PBXW0160_2C	AC7L8PACXX	1	7	b8	H4
0	BEI010033	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b1	A5
0	BEI010034	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b2	B5
0	BEI010035	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b3	C5
0	BEI010036	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b4	D5
0	BEI010037	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b5	E5
0	BEI010038	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b6	F5
0	BEI010039	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b7	G5
0	BEI010040	NYU014_PBXW0160_2C	AC7L8PACXX	1	8	b8	H5
0	BEI010041	NYU014_PBXW0160_gt2C	AC7L8PACXX	1	12	b1	A6
