bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	median.len	median.len.ratio
chr1	0	0	1473018	268.0	0.000212578457712
chr1	1473018	1473018	2116721	249.0	0.000197507596904
chr1	2116721	2116721	2856774	258.0	0.000204646425707
chr1	2856774	2856774	3467636	259.0	0.000205439628908
chr1	3467636	3467636	4206200	246.0	0.000195127987302
chr1	4206200	4206200	4731480	237.0	0.000187989158499
chr1	4731480	4731480	5275784	245.0	0.000194334784102
chr1	5275784	5275784	5806543	235.0	0.000186402752098
chr1	5806543	5806543	6372591	243.0	0.000192748377701
chr1	6372591	6372591	6933808	254.0	0.000201473612906
chr1	6933808	6933808	7501646	245.0	0.000194334784102
chr1	7501646	7501646	8059328	254.0	0.000201473612906
chr1	8059328	8059328	8578432	249.0	0.000197507596904
chr1	8578432	8578432	9145562	253.0	0.000200680409705
chr1	9145562	9145562	9693906	254.0	0.000201473612906
chr1	9693906	9693906	10221456	251.0	0.000199094003304
chr1	10221456	10221456	10791378	252.0	0.000199887206505
chr1	10791378	10791378	11343065	252.0	0.000199887206505
chr1	11343065	11343065	11889895	243.0	0.000192748377701
chr1	11889895	11889895	12429914	245.0	0.000194334784102
chr1	12429914	12429914	13808849	246.0	0.000195127987302
chr1	13808849	13808849	14347446	244.0	0.000193541580902
chr1	14347446	14347446	14897540	238.0	0.000188782361699
chr1	14897540	14897540	15425467	241.0	0.0001911619713
chr1	15425467	15425467	15951737	248.0	0.000196714393703
chr1	15951737	15951737	16527447	256.0	0.000203060019307
chr1	16527447	16527447	17324416	252.0	0.000199887206505
chr1	17324416	17324416	17833057	246.0	0.000195127987302
chr1	17833057	17833057	18355038	240.0	0.0001903687681
chr1	18355038	18355038	18881537	244.0	0.000193541580902
chr1	18881537	18881537	19418023	239.0	0.000189575564899
chr1	19418023	19418023	19958978	253.0	0.000200680409705
chr1	19958978	19958978	20499540	247.0	0.000195921190503
chr1	20499540	20499540	21054945	249.0	0.000197507596904
chr1	21054945	21054945	21621732	253.0	0.000200680409705
chr1	21621732	21621732	22198407	245.0	0.000194334784102
chr1	22198407	22198407	22760104	247.0	0.000195921190503
chr1	22760104	22760104	23303116	247.0	0.000195921190503
chr1	23303116	23303116	23869289	247.0	0.000195921190503
chr1	23869289	23869289	24489804	241.0	0.0001911619713
chr1	24489804	24489804	25037333	254.0	0.000201473612906
chr1	25037333	25037333	25669505	251.0	0.000199094003304
chr1	25669505	25669505	26273109	248.0	0.000196714393703
chr1	26273109	26273109	26831137	241.0	0.0001911619713
chr1	26831137	26831137	27404373	245.0	0.000194334784102
chr1	27404373	27404373	27967845	257.0	0.000203853222507
chr1	27967845	27967845	28510270	252.0	0.000199887206505
chr1	28510270	28510270	29046006	246.0	0.000195127987302
chr1	29046006	29046006	29597833	255.0	0.000202266816106
chr1	29597833	29597833	30288809	260.0	0.000206232832108
chr1	30288809	30288809	30835485	253.0	0.000200680409705
chr1	30835485	30835485	31377151	242.0	0.000191955174501
chr1	31377151	31377151	31927372	253.0	0.000200680409705
chr1	31927372	31927372	32474929	245.0	0.000194334784102
chr1	32474929	32474929	33014093	244.0	0.000193541580902
chr1	33014093	33014093	33563982	248.0	0.000196714393703
chr1	33563982	33563982	34106543	238.0	0.000188782361699
chr1	34106543	34106543	34639423	242.0	0.000191955174501
chr1	34639423	34639423	35194630	237.0	0.000187989158499
chr1	35194630	35194630	35753796	252.0	0.000199887206505
chr1	35753796	35753796	36306982	255.0	0.000202266816106
chr1	36306982	36306982	36849248	242.0	0.000191955174501
chr1	36849248	36849248	37394959	247.0	0.000195921190503
chr1	37394959	37394959	37931344	245.0	0.000194334784102
chr1	37931344	37931344	38469144	256.0	0.000203060019307
chr1	38469144	38469144	39004229	245.0	0.000194334784102
chr1	39004229	39004229	39539400	241.0	0.0001911619713
chr1	39539400	39539400	40124592	249.0	0.000197507596904
chr1	40124592	40124592	40700447	247.0	0.000195921190503
chr1	40700447	40700447	41251906	247.0	0.000195921190503
chr1	41251906	41251906	41800631	245.0	0.000194334784102
chr1	41800631	41800631	42328236	240.0	0.0001903687681
chr1	42328236	42328236	42902806	253.0	0.000200680409705
chr1	42902806	42902806	43454875	254.0	0.000201473612906
chr1	43454875	43454875	44004213	243.0	0.000192748377701
chr1	44004213	44004213	44544815	248.0	0.000196714393703
chr1	44544815	44544815	45092096	252.0	0.000199887206505
chr1	45092096	45092096	45640614	252.0	0.000199887206505
chr1	45640614	45640614	46235245	250.0	0.000198300800104
chr1	46235245	46235245	46791202	248.0	0.000196714393703
chr1	46791202	46791202	47374823	256.0	0.000203060019307
chr1	47374823	47374823	47996174	262.0	0.000207819238509
chr1	47996174	47996174	48511163	239.0	0.000189575564899
chr1	48511163	48511163	49122998	253.0	0.000200680409705
chr1	49122998	49122998	49694897	248.0	0.000196714393703
chr1	49694897	49694897	50309801	255.0	0.000202266816106
chr1	50309801	50309801	50875205	244.0	0.000193541580902
chr1	50875205	50875205	51477240	259.0	0.000205439628908
chr1	51477240	51477240	52053099	258.0	0.000204646425707
chr1	52053099	52053099	52602492	257.0	0.000203853222507
chr1	52602492	52602492	53155381	257.0	0.000203853222507
chr1	53155381	53155381	53707607	248.0	0.000196714393703
chr1	53707607	53707607	54252527	250.0	0.000198300800104
chr1	54252527	54252527	54787430	238.0	0.000188782361699
chr1	54787430	54787430	55317234	238.0	0.000188782361699
chr1	55317234	55317234	55870607	241.0	0.0001911619713
chr1	55870607	55870607	56423339	247.0	0.000195921190503
chr1	56423339	56423339	56962784	248.0	0.000196714393703
chr1	56962784	56962784	57495633	243.0	0.000192748377701
