bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	bin.length	mappable.positions	gc.content
chr1	0	0	1473018	1473018	1259	0.515535571077
chr1	1473018	1473018	2116721	643703	1259	0.545828517455
chr1	2116721	2116721	2856774	740053	1259	0.592392769262
chr1	2856774	2856774	3467636	610862	1259	0.57413691777
chr1	3467636	3467636	4206200	738564	1259	0.53489079371
chr1	4206200	4206200	4731480	525280	1259	0.476040443115
chr1	4731480	4731480	5275784	544304	1259	0.45434820551
chr1	5275784	5275784	5806543	530759	1259	0.473909111463
chr1	5806543	5806543	6372591	566048	1259	0.536831617051
chr1	6372591	6372591	6933808	561217	1259	0.503201964299
chr1	6933808	6933808	7501646	567838	1259	0.469976525036
chr1	7501646	7501646	8059328	557682	1259	0.485142993421
chr1	8059328	8059328	8578432	519104	1259	0.457997900232
chr1	8578432	8578432	9145562	567130	1259	0.441160860542
chr1	9145562	9145562	9693906	548344	1259	0.510023798886
chr1	9693906	9693906	10221456	527550	1259	0.476861952683
chr1	10221456	10221456	10791378	569922	1259	0.4709864315
chr1	10791378	10791378	11343065	551687	1259	0.491216049651
chr1	11343065	11343065	11889895	546830	1259	0.516053405897
chr1	11889895	11889895	12429914	540019	1259	0.491591052183
chr1	12429914	12429914	13808849	1378935	1259	0.460261625737
chr1	13808849	13808849	14347446	538597	1259	0.442634395226
chr1	14347446	14347446	14897540	550094	1259	0.426391805052
chr1	14897540	14897540	15425467	527927	1259	0.487960479459
chr1	15425467	15425467	15951737	526270	1259	0.479769928421
chr1	15951737	15951737	16527447	575710	1259	0.506438126074
chr1	16527447	16527447	17324416	796969	1259	0.487272581228
chr1	17324416	17324416	17833057	508641	1259	0.497286893336
chr1	17833057	17833057	18355038	521981	1259	0.507021314911
chr1	18355038	18355038	18881537	526499	1259	0.488072174739
chr1	18881537	18881537	19418023	536486	1259	0.507844551685
chr1	19418023	19418023	19958978	540955	1259	0.46680136647
chr1	19958978	19958978	20499540	540562	1259	0.46822479526
chr1	20499540	20499540	21054945	555405	1259	0.490561859253
chr1	21054945	21054945	21621732	566787	1259	0.421469755888
chr1	21621732	21621732	22198407	576675	1259	0.494622630385
chr1	22198407	22198407	22760104	561697	1259	0.499510413069
chr1	22760104	22760104	23303116	543012	1259	0.499838862053
chr1	23303116	23303116	23869289	566173	1259	0.451170488224
chr1	23869289	23869289	24489804	620515	1259	0.476617847082
chr1	24489804	24489804	25037333	547529	1259	0.457825142001
chr1	25037333	25037333	25669505	632172	1259	0.478240924557
chr1	25669505	25669505	26273109	603604	1259	0.477694850109
chr1	26273109	26273109	26831137	558028	1259	0.487033827991
chr1	26831137	26831137	27404373	573236	1259	0.486807376356
chr1	27404373	27404373	27967845	563472	1259	0.498978655588
chr1	27967845	27967845	28510270	542425	1259	0.448512792528
chr1	28510270	28510270	29046006	535736	1259	0.459270126947
chr1	29046006	29046006	29597833	551827	1259	0.456305225541
chr1	29597833	29597833	30288809	690976	1259	0.48365827013
chr1	30288809	30288809	30835485	546676	1259	0.475880638842
chr1	30835485	30835485	31377151	541666	1259	0.494298157355
chr1	31377151	31377151	31927372	550221	1259	0.455370741264
chr1	31927372	31927372	32474929	547557	1259	0.483072112909
chr1	32474929	32474929	33014093	539164	1259	0.473565606076
chr1	33014093	33014093	33563982	549889	1259	0.471414282857
chr1	33563982	33563982	34106543	542561	1259	0.460905850391
chr1	34106543	34106543	34639423	532880	1259	0.45282530246
chr1	34639423	34639423	35194630	555207	1259	0.437268555208
chr1	35194630	35194630	35753796	559166	1259	0.443908528221
chr1	35753796	35753796	36306982	553186	1259	0.428410284407
chr1	36306982	36306982	36849248	542266	1259	0.459697897899
chr1	36849248	36849248	37394959	545711	1259	0.484744700501
chr1	37394959	37394959	37931344	536385	1259	0.477173155153
chr1	37931344	37931344	38469144	537800	1259	0.474255347238
chr1	38469144	38469144	39004229	535085	1259	0.459514919097
chr1	39004229	39004229	39539400	535171	1259	0.449093001876
chr1	39539400	39539400	40124592	585192	1259	0.447937688933
chr1	40124592	40124592	40700447	575855	1259	0.452161651524
chr1	40700447	40700447	41251906	551459	1259	0.439195952562
chr1	41251906	41251906	41800631	548725	1259	0.446920685369
chr1	41800631	41800631	42328236	527605	1259	0.499050427781
chr1	42328236	42328236	42902806	574570	1259	0.414648494268
chr1	42902806	42902806	43454875	552069	1259	0.433720361548
chr1	43454875	43454875	44004213	549338	1259	0.466877465463
chr1	44004213	44004213	44544815	540602	1259	0.48614417604
chr1	44544815	44544815	45092096	547281	1259	0.456669504935
chr1	45092096	45092096	45640614	548518	1259	0.454348892199
chr1	45640614	45640614	46235245	594631	1259	0.436873562136
chr1	46235245	46235245	46791202	555957	1259	0.435450159904
chr1	46791202	46791202	47374823	583621	1259	0.462304368238
chr1	47374823	47374823	47996174	621351	1259	0.439393451699
chr1	47996174	47996174	48511163	514989	1259	0.478613176955
chr1	48511163	48511163	49122998	611835	1259	0.410977778359
chr1	49122998	49122998	49694897	571899	1259	0.406093722679
chr1	49694897	49694897	50309801	614904	1259	0.372572999081
chr1	50309801	50309801	50875205	565404	1259	0.403914008543
chr1	50875205	50875205	51477240	602035	1259	0.389365420008
chr1	51477240	51477240	52053099	575859	1259	0.41222866669
chr1	52053099	52053099	52602492	549393	1259	0.414789750161
chr1	52602492	52602492	53155381	552889	1259	0.420340393207
